time_sec,gt_x,gt_y,est_x,est_y,noisy_x,noisy_y
1765530570.4730766,4.302245273994269,-2.449376942934206,5.8210723822415265,-1.3550824192246622,5.48345461354744,-1.1653124084457613
1765530570.5691397,4.352369060043011,-2.362847914607019,5.596938330087035,-0.9958914542223896,5.575371711561911,-0.999055752917817
1765530570.7045047,4.400752356471918,-2.2753337826179867,5.612803868458582,-0.8356341910664629,5.631074623231825,-0.8933639858472179
1765530570.7964334,4.447375810607452,-2.1868695514531886,5.61477397610093,-0.9009334732809983,5.624126359679055,-0.9072123297635987
1765530570.8945742,4.492220773689663,-2.097490605625458,5.670503033668653,-0.8106935847523681,5.659097812786089,-0.8338892701746259
1765530570.9764311,4.535269308331209,-2.0072326955214845,5.70763150495541,-0.7514779445030678,5.692203783135823,-0.7607478197286204
1765530571.0719469,4.576504195692177,-1.9161319231019522,5.795198398553486,-0.5836144039339621,5.772135885729874,-0.574315067054521
1765530571.1678314,4.615908942367473,-1.824224727461039,5.755066698199101,-0.606025376087371,5.755482472252441,-0.6154075457679501
1765530571.2755456,4.65346778698376,-1.7315478702517189,5.857149318589803,-0.5481324918909323,5.792067410498832,-0.5196770668178714
1765530571.3720224,4.689165706504022,-1.6381384209810688,5.879717685758419,-0.23666949291007294,5.886296599921543,-0.25750392631216135
1765530571.4743655,4.722988422236392,-1.5440337421834198,5.877238948702572,-0.32760380167150427,5.863865913474973,-0.3240657045076082
1765530571.5750582,4.754922405545516,-1.4492714744756467,5.832341806277233,-0.47110180340356145,5.818210558320626,-0.46906529392534757
1765530571.6754265,4.7849548832638975,-1.3538895215012174,5.799086913139865,-0.3268176384275272,5.8534601716489,-0.34876653975291694
1765530571.7747667,4.813073842800834,-1.2579260347697152,5.937484714053517,-0.14618928696422173,5.898521857615822,-0.1827468592984013
1765530571.8722606,4.839268036947465,-1.1614193983962,5.961347009054731,-0.12069463574140885,5.915893155303667,-0.11327929914545791
1765530571.9781697,4.863526988375364,-1.0644082137485513,6.024961269540567,-0.07725936042366006,5.937331235159112,-0.019628779593925033
1765530572.071687,4.88584099382739,-0.9669312840072324,6.002972376819955,0.11615045415000218,5.963936642091701,0.10830590724735564
1765530572.1704626,4.906201127998913,-0.8690275986443263,6.044717443419105,0.22995119948229295,5.979083695664807,0.1892284889242928
1765530572.270271,4.9245992471076985,-0.7707363178287522,6.006829457115215,0.2592749261953161,5.99561044746944,0.28845649079087654
1765530572.3728602,4.941027992151435,-0.672096756762164,6.047140870370065,0.4168582245426829,6.012013132705737,0.40075440380277255
1765530572.4740114,4.955480791851137,-0.573148369953881,6.048906845499744,0.458720959212224,6.019003643739768,0.4563696620098031
1765530572.5740561,4.96795186527962,-0.473930735439403,6.098050296694333,0.5366704041805429,6.025304189078229,0.516132168863205
1765530572.670693,4.978436224173807,-0.37448353894951103,6.0328944758330865,0.49731786743981654,6.032387847557376,0.5992308251037128
1765530572.7753596,4.986929674929916,-0.2748465580369972,6.030326929355018,0.812111471883589,6.042114198890064,0.7485677780183155
1765530572.877546,4.993428820280901,-0.1750596461656096,6.062010815767374,0.8134025581605611,6.046621874345338,0.8485853024621102
1765530572.9811823,4.99793106065527,-0.07516271676969313,6.0273223173303965,0.8729334063416557,6.0487662129647,0.9342094753774453
1765530573.0710242,5.000434595216898,0.02480427271086405,6.0299916684609025,0.9499251916818277,6.049129865502598,1.0063853602546768
1765530573.1757782,5.000938422585348,0.12480133681328714,6.054506897438626,1.1283379464896082,6.0470884511646945,1.142818572164157
1765530573.2855282,4.999442341236387,0.22478847804506952,6.073906819890764,1.1831726971099745,6.045107632388239,1.199452434985123
1765530573.3974879,4.995946949582605,0.32472570288300456,6.034135202165661,1.2274346510438536,6.044888811848964,1.2034297586991316
1765530573.4903471,4.9904536457340605,0.4245730377695647,6.111181149244885,1.364598518754524,6.028607043807787,1.420224157067347
1765530573.580087,4.982964626939056,0.5242905451020043,5.97932807217447,1.434836864395322,6.025101196631708,1.4570316858392032
1765530573.6906018,4.973482888705245,0.6238383392070812,5.971570292234269,1.5265416892620691,6.017124761493534,1.5261092157896028
1765530573.7777877,4.962012223601514,0.7231766022942984,5.933362206590746,1.7229902085224096,5.988212489983028,1.73903282741653
1765530573.8823993,4.948557219740947,0.8222656003830542,5.9736731655810615,1.9739431438567814,5.961714487865353,1.9086590991352774
1765530573.9762573,4.933123258945701,0.9210656991952118,5.948554760600787,2.039098993483685,5.93887149758901,2.037884162817831
1765530574.0725696,4.915716514594321,1.019537380008493,5.980401926874961,2.112255025064226,5.9248117636170825,2.1090835295022434
1765530574.1799345,4.896343949152435,1.1176412554636512,5.93459702513114,2.2061067679109683,5.886278965447128,2.2855682773190997
1765530574.3050172,4.875013311387953,1.215338085318399,5.809561077553068,2.5779861559022907,5.815265061833322,2.5822220351349596
1765530574.3909428,4.851733133271544,1.3125887921435402,5.721082159688349,2.7304119060572343,5.791844102991158,2.672083596351697
1765530574.4871473,4.826512726564071,1.4093544769529343,5.788140138258469,2.7598125756009493,5.755163180154231,2.8021083714220842
1765530574.6151023,4.79936217909197,1.5055964347627808,5.745763535592672,2.815983437434298,5.7543045925514145,2.804934306047674
1765530574.6916404,4.770292350712188,1.6012761700733014,5.736213703489331,2.8165878420363644,5.7431471796074804,2.839179774298388
1765530574.8141801,4.739314868968526,1.6963554122659494,5.679302679470533,2.950541582212657,5.717733219281015,2.9121920132012744
1765530574.88449,4.70644212444061,1.7907961309116887,5.707913972107532,2.976665663699674,5.70743392171406,2.9399782767896547
1765530574.9691284,4.671687265787974,1.8845605509821857,5.673591442021228,2.9991701757832465,5.69408421434364,2.973896745756987
1765530575.0683815,4.635064194490716,1.9776111679595225,5.641670641077912,3.024579336513323,5.665061429462896,3.043517991811517
1765530575.1660588,4.5965875592889995,2.069910762837698,5.613988332718869,3.135225268933167,5.6225925132080175,3.139919311255375
1765530575.2667308,4.556272750323947,2.1614224170092755,5.499690860045056,3.258812222757398,5.54161505765133,3.3141993094485906
1765530575.3727453,4.514135892981561,2.2521095270328546,5.489471357267381,3.3896889921931366,5.510116720369657,3.37858817502704
1765530575.4753997,4.470193841442993,2.3419358192735067,5.444912419540701,3.5247426967085946,5.445700563045924,3.5038569476422974
1765530575.5651329,4.424464171943001,2.4308653644119405,5.523088443590833,3.501467602792246,5.445404476142393,3.5044054818991013
1765530575.6868532,4.376965175739602,2.5188625918159375,5.339450365035323,3.6397862305988653,5.374381770924893,3.6299114804067516
1765530575.7839415,4.3277158517980325,2.6058923037676927,5.326703833307606,3.797907800860545,5.306234969077839,3.7449074918203378
1765530575.8818562,4.27673589919115,2.6919196895429294,5.285706087729342,3.804077048554701,5.25945096572347,3.8203713086547357
1765530575.9768744,4.22404570922031,2.7769103393342918,5.2301865220842085,3.8953926987221887,5.2056791658045425,3.9033536339998975
1765530576.078938,4.169666357259011,2.8608302580149974,5.1121340616028,3.99496299261812,5.0970910574016335,4.063805212811431
1765530576.167909,4.113619594322913,2.943645878736611,4.953021316759784,4.187998769170518,4.961023973995102,4.256444766665443
1765530576.2741845,4.05592783836999,3.0253240763549196,4.91902773870541,4.24290395380813,4.946428980218407,4.276254959179943
1765530576.3664405,3.996614165333328,3.1058321806800198,4.828906274314617,4.31233889561854,4.9391828584310105,4.285689238450547
1765530576.4652734,3.935702299891343,3.1851379895435503,4.992460758494398,4.303509172228005,4.910058576609261,4.3220781257956755
1765530576.5659406,3.8732166059781106,3.263209781679308,4.805027026265872,4.3299227816221935,4.861854985481466,4.379896173091391
1765530576.6642768,3.8091820770379745,3.3400163294114917,4.697943628663638,4.426586786331043,4.845582700747335,4.398638879598139
1765530576.764357,3.743624326028821,3.4155269111449735,4.796755760363094,4.483835828357115,4.748899584998576,4.505601921742547
1765530576.867514,3.676569575176867,3.489711323653962,4.767395068162654,4.640124319971237,4.71923715726414,4.537127269080148
1765530576.9665222,3.6080446454884494,3.5625398941625113,4.703766071106072,4.543864049729831,4.689678272785859,4.5673096686387735
1765530577.0667715,3.5380769460218398,3.6339834922134022,4.6009941018833755,4.615710851410343,4.644980278911446,4.611160800879405
1765530577.166686,3.466694462923835,3.704013541320085,4.609772591108163,4.667851779212789,4.545865189327889,4.7045821876440135
1765530577.2709782,3.3939257482360223,3.772602030396539,4.61435850907893,4.826791665172454,4.449317165348846,4.792004530399798
1765530577.367809,3.3197999084739367,3.8397215249617314,4.231463663652806,4.928492325549584,4.302181768361821,4.919971899302874
1765530577.4700115,3.2443465929852033,3.9053451781127024,4.272005000971956,5.035346049917768,4.231897909573456,4.978672477187931
1765530577.5652978,3.167595982090041,3.9694467412631163,4.296345509657979,4.995239850304567,4.2450540371706325,4.968123955337098
1765530577.6719897,3.0895787750093717,4.03200057464248,4.4289638423278515,5.177411365327577,4.050872133839724,5.117537641845864
1765530577.764383,3.010326177585922,4.092981657551394,4.13953533898785,5.002557365505748,3.9934266144288877,5.15993757625664
1765530577.8646865,2.9298698898018625,4.152365598369851,4.007789895884992,5.199235251408311,3.924964693661966,5.208383929513715
1765530577.9667263,2.8482420930996266,4.2101286443132535,3.8939619654958366,5.223830511393559,3.902636739993451,5.223523159967359
1765530578.0649483,2.7654754375095973,4.26624769093335,3.888337082392879,5.355300499784316,3.8309687203498926,5.270052287809202
1765530578.1670327,2.681603028590353,4.320700291359818,3.7774056402242535,5.262249924144268,3.7922812962070442,5.294083448910661
1765530578.2652674,2.5966584141872975,4.37346466527843,3.624581362356639,5.293877625805763,3.6007252473532168,5.407825933207132
1765530578.3663356,2.5106755710134903,4.4245197076432135,3.4620382616179666,5.537440350968114,3.488706726226588,5.4713453822083125
1765530578.4668543,2.4236888910598386,4.473844997117906,3.5850977807380313,5.3709546691248,3.586661384889941,5.418361087644775
